session_id,student_id,persona,event_id,event_type,ts_iso,ts_ms,session_offset_ms,wave_number,question_id,subject,difficulty,correct,response_time_ms,context,tower_type,tile_col,tile_row,gold_spent,old_level,new_level,success,difficulty_jump,total_enemies,enemies_killed,enemies_leaked,interest,bonus_gold,synergy_id,synergy_name,enemy_type,knowledge_component,reward,live_cost,lives_remaining,amount,remaining_prep_time
session_1776330302390_25kkp9,student_w1_001,strong_student,evt_1776330302427.5_ua2,role_selected,2026-04-16T09:05:02.427Z,1776330302427.5,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_1776330302390_25kkp9,student_w1_001,strong_student,evt_1776330302427.5_zvo,puzzle_entered,2026-04-16T09:05:02.427Z,1776330302427.5,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_1776330302390_25kkp9,student_w1_001,strong_student,evt_1776330302429_2xf,player_message,2026-04-16T09:05:02.429Z,1776330302429,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_1776330302390_25kkp9,student_w1_001,strong_student,evt_1776330302429_u7f,information_requested,2026-04-16T09:05:02.429Z,1776330302429,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_1776330302390_25kkp9,student_w1_001,strong_student,evt_1776330302429_lg9,information_shared,2026-04-16T09:05:02.429Z,1776330302429,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_1776330302390_25kkp9,student_w1_001,strong_student,evt_1776330302429_bif,player_message,2026-04-16T09:05:02.429Z,1776330302429,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_1776330302390_25kkp9,student_w1_001,strong_student,evt_1776330302429_zva,information_requested,2026-04-16T09:05:02.429Z,1776330302429,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_1776330302390_25kkp9,student_w1_001,strong_student,evt_1776330302429_c2d,player_message,2026-04-16T09:05:02.429Z,1776330302429,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_1776330302390_25kkp9,student_w1_001,strong_student,evt_1776330302429_hle,information_requested,2026-04-16T09:05:02.429Z,1776330302429,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_1776330302390_25kkp9,student_w1_001,strong_student,evt_1776330302429_rnc,information_shared,2026-04-16T09:05:02.429Z,1776330302429,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_1776330302390_25kkp9,student_w1_001,strong_student,evt_1776330302430.5_rz4,puzzle_step_complete,2026-04-16T09:05:02.430Z,1776330302430.5,40.5,,,,,true,4624,,,,,,,,,,,,,,,,,,,,,,,
session_1776330302390_25kkp9,student_w1_001,strong_student,evt_1776330302430.5_9yy,question_answered,2026-04-16T09:05:02.430Z,1776330302430.5,40.5,,se_q_1_0_19,applied_science,2,true,4624,puzzle_step,,,,,,,,,,,,,,,,,,,,,,
session_1776330302390_25kkp9,student_w1_001,strong_student,evt_1776330302430.5_br6,puzzle_step_complete,2026-04-16T09:05:02.430Z,1776330302430.5,40.5,,,,,true,4113,,,,,,,,,,,,,,,,,,,,,,,
session_1776330302390_25kkp9,student_w1_001,strong_student,evt_1776330302430.5_m15,puzzle_step_complete,2026-04-16T09:05:02.430Z,1776330302430.5,40.5,,,,,true,4822,,,,,,,,,,,,,,,,,,,,,,,
session_1776330302390_25kkp9,student_w1_001,strong_student,evt_1776330302430.5_56f,question_answered,2026-04-16T09:05:02.430Z,1776330302430.5,40.5,,se_q_1_2_1,applied_math,5,true,4822,puzzle_step,,,,,,,,,,,,,,,,,,,,,,
session_1776330302390_25kkp9,student_w1_001,strong_student,evt_1776330302430.5_9dh,puzzle_step_complete,2026-04-16T09:05:02.430Z,1776330302430.5,40.5,,,,,true,1670,,,,,,,,,,,,,,,,,,,,,,,
session_1776330302390_25kkp9,student_w1_001,strong_student,evt_1776330302430.5_muf,puzzle_complete,2026-04-16T09:05:02.430Z,1776330302430.5,40.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_1776330302390_25kkp9,student_w1_001,strong_student,evt_1776330302430.5_hon,day_event_response,2026-04-16T09:05:02.430Z,1776330302430.5,40.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_1776330302390_25kkp9,student_w1_001,strong_student,evt_1776330302430.5_u0i,puzzle_entered,2026-04-16T09:05:02.430Z,1776330302430.5,40.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_1776330302390_25kkp9,student_w1_001,strong_student,evt_1776330302430.5_5bx,player_message,2026-04-16T09:05:02.430Z,1776330302430.5,40.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_1776330302390_25kkp9,student_w1_001,strong_student,evt_1776330302430.5_uw4,information_shared,2026-04-16T09:05:02.430Z,1776330302430.5,40.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_1776330302390_25kkp9,student_w1_001,strong_student,evt_1776330302430.5_odd,player_message,2026-04-16T09:05:02.430Z,1776330302430.5,40.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_1776330302390_25kkp9,student_w1_001,strong_student,evt_1776330302430.5_4ls,information_requested,2026-04-16T09:05:02.430Z,1776330302430.5,40.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_1776330302390_25kkp9,student_w1_001,strong_student,evt_1776330302430.5_ncc,player_message,2026-04-16T09:05:02.430Z,1776330302430.5,40.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_1776330302390_25kkp9,student_w1_001,strong_student,evt_1776330302430.5_g0b,information_requested,2026-04-16T09:05:02.430Z,1776330302430.5,40.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_1776330302390_25kkp9,student_w1_001,strong_student,evt_1776330302430.5_7zk,player_message,2026-04-16T09:05:02.430Z,1776330302430.5,40.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_1776330302390_25kkp9,student_w1_001,strong_student,evt_1776330302430.5_jbb,information_requested,2026-04-16T09:05:02.430Z,1776330302430.5,40.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_1776330302390_25kkp9,student_w1_001,strong_student,evt_1776330302430.5_iqj,information_shared,2026-04-16T09:05:02.430Z,1776330302430.5,40.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_1776330302390_25kkp9,student_w1_001,strong_student,evt_1776330302430.5_leg,player_message,2026-04-16T09:05:02.430Z,1776330302430.5,40.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_1776330302390_25kkp9,student_w1_001,strong_student,evt_1776330302430.5_31w,information_requested,2026-04-16T09:05:02.430Z,1776330302430.5,40.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_1776330302390_25kkp9,student_w1_001,strong_student,evt_1776330302430.5_5hh,player_message,2026-04-16T09:05:02.430Z,1776330302430.5,40.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_1776330302390_25kkp9,student_w1_001,strong_student,evt_1776330302430.5_hkb,information_requested,2026-04-16T09:05:02.430Z,1776330302430.5,40.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_1776330302390_25kkp9,student_w1_001,strong_student,evt_1776330302430.5_hd9,information_shared,2026-04-16T09:05:02.430Z,1776330302430.5,40.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
session_1776330302390_25kkp9,student_w1_001,strong_student,evt_1776330302430.5_6jb,puzzle_step_complete,2026-04-16T09:05:02.430Z,1776330302430.5,40.5,,,,,true,5454,,,,,,,,,,,,,,,,,,,,,,,
session_1776330302390_25kkp9,student_w1_001,strong_student,evt_1776330302430.5_eyg,question_answered,2026-04-16T09:05:02.430Z,1776330302430.5,40.5,,se_q_2_0_0,applied_science,3,true,5454,puzzle_step,,,,,,,,,,,,,,,,,,,,,,
